time_s,altitude_km,velocity_mps,accel_mps2,dynamic_pressure_kPa,mass_kg
0,0.0,0.0,0.0,0.0,2608200
1,0.002,1.2,2.25,0.001,2595392
2,0.008,4.4,4.12,0.012,2582585
3,0.02,9.3,5.6,0.052,2569777
4,0.039,15.5,6.71,0.146,2556969
5,0.066,22.6,7.44,0.31,2544162
6,0.103,30.2,7.78,0.553,2531354
7,0.15,38.0,7.75,0.872,2518546
8,0.209,45.6,7.53,1.25,2505739
9,0.279,53.1,7.32,1.679,2492931
10,0.36,60.3,7.12,2.15,2480123
11,0.45,67.3,6.94,2.657,2467316
12,0.549,74.2,6.77,3.195,2454508
13,0.656,80.9,6.6,3.757,2441701
14,0.771,87.4,6.45,4.34,2428893
15,0.893,93.8,6.31,4.938,2416085
16,1.02,100.0,6.19,5.549,2403278
17,1.153,106.1,6.07,6.168,2390470
18,1.29,112.2,5.97,6.795,2377662
19,1.43,118.1,5.87,7.428,2364855
20,1.574,123.9,5.79,8.064,2352047
21,1.719,129.7,5.72,8.703,2339239
22,1.866,135.4,5.67,9.346,2326432
23,2.014,141.0,5.62,9.992,2313624
24,2.161,146.6,5.58,10.643,2300816
25,2.307,152.2,5.56,11.298,2288009
26,2.452,157.7,5.55,11.961,2275201
27,2.595,163.3,5.55,12.632,2262393
28,2.734,168.8,5.56,13.316,2249586
29,2.869,174.4,5.58,14.013,2236778
30,3.0,180.0,5.62,14.728,2223970
31,3.126,185.6,5.66,15.463,2211163
32,3.247,191.3,5.71,16.22,2198355
33,3.365,197.1,5.77,16.999,2185548
34,3.481,202.9,5.84,17.799,2172740
35,3.597,208.8,5.92,18.62,2159932
36,3.713,214.7,6.01,19.461,2147125
37,3.831,220.8,6.1,20.321,2134317
38,3.952,226.9,6.21,21.199,2121509
39,4.077,233.2,6.32,22.093,2108702
40,4.207,239.6,6.44,22.999,2095894
41,4.343,246.1,6.57,23.916,2083086
42,4.488,252.7,6.71,24.839,2070279
43,4.641,259.5,6.86,25.765,2057471
44,4.804,266.4,7.01,26.688,2044663
45,4.978,273.5,7.18,27.604,2031856
46,5.164,280.8,7.35,28.507,2019048
47,5.365,288.2,7.53,29.389,2006240
48,5.58,295.9,7.72,30.243,1993433
49,5.811,303.7,7.92,31.062,1980625
50,6.059,311.7,8.12,31.837,1967817
51,6.325,319.9,8.34,32.557,1955010
52,6.611,328.4,8.56,33.215,1942202
53,6.918,337.1,8.79,33.798,1929395
54,7.247,346.0,9.04,34.297,1916587
55,7.598,355.1,9.28,34.701,1903779
56,7.975,364.5,9.54,34.998,1890972
57,8.376,374.2,9.81,35.178,1878164
58,8.804,384.2,10.08,35.229,1865356
59,9.26,394.4,10.37,35.143,1852549
60,9.745,404.9,10.66,34.91,1839741
61,10.261,415.7,10.96,34.521,1826933
62,10.807,426.8,11.27,33.97,1814126
63,11.387,438.3,11.59,32.88,1801318
64,12.0,450.0,11.91,31.472,1788510
65,12.648,462.1,12.25,29.963,1775703
66,13.327,474.5,12.59,28.384,1762895
67,14.036,487.3,12.95,26.766,1750087
68,14.772,500.4,13.31,25.136,1737280
69,15.531,513.9,13.69,23.519,1724472
70,16.312,527.8,14.07,21.934,1711664
71,17.11,542.0,14.47,20.399,1698857
72,17.924,556.7,14.87,18.926,1686049
73,18.751,571.8,15.28,17.525,1673241
74,19.587,587.3,15.71,16.204,1660434
75,20.43,603.2,16.14,14.938,1647626
76,21.277,619.6,16.58,13.742,1634819
77,22.126,636.4,17.03,12.646,1622011
78,22.973,653.6,17.5,11.646,1609203
79,23.815,671.4,17.97,10.739,1596396
80,24.651,689.6,18.45,9.918,1583588
81,25.477,708.3,18.94,9.178,1570780
82,26.29,727.5,19.44,8.515,1557973
83,27.087,747.2,19.95,7.923,1545165
84,27.867,767.4,20.47,7.395,1532357
85,28.625,788.1,21.0,6.929,1519550
86,29.359,809.4,21.54,6.518,1506742
87,30.066,831.2,22.09,6.158,1493934
88,30.744,853.6,22.65,5.847,1481127
89,31.39,876.5,23.22,5.581,1468319
90,32.0,900.0,23.8,5.356,1455511
91,32.573,924.1,24.37,4.976,1442704
92,33.111,948.7,24.91,4.662,1429896
93,33.615,973.9,25.41,4.402,1417088
94,34.087,999.5,25.89,4.186,1404281
95,34.531,1025.7,26.34,4.006,1391473
96,34.948,1052.2,26.76,3.856,1378666
97,35.34,1079.2,27.14,3.731,1365858
98,35.709,1106.5,27.5,3.626,1353050
99,36.059,1134.2,27.83,3.538,1340243
100,36.391,1162.1,28.12,3.464,1327435
101,36.707,1190.4,28.39,3.402,1314627
102,37.009,1218.9,28.63,3.348,1301820
103,37.3,1247.6,28.83,3.302,1289012
104,37.582,1276.6,29.01,3.26,1276204
105,37.857,1305.7,29.15,3.221,1263397
106,38.128,1334.9,29.27,3.184,1250589
107,38.396,1364.2,29.35,3.147,1237781
108,38.664,1393.6,29.41,3.109,1224974
109,38.935,1423.0,29.43,3.067,1212166
110,39.209,1452.4,29.43,3.022,1199358
111,39.49,1481.8,29.39,2.971,1186551
112,39.78,1511.2,29.33,2.913,1173743
113,40.08,1540.5,29.23,2.849,1160935
114,40.394,1569.7,29.1,2.777,1148128
115,40.724,1598.7,28.95,2.697,1135320
116,41.071,1627.5,28.76,2.608,1122513
117,41.437,1656.2,28.54,2.511,1109705
118,41.826,1684.6,28.3,2.405,1096897
